IdJuego,IdUsuario,ModoAdquisicion,FechaAdquisicion,Descuento,PrecioCompra
28,1,0,2020-02-16,0.2528753805095416,44.8200059232326
82,1,0,2023-08-08,0.0,59.99
87,1,0,2021-09-22,0.3679678678599821,31.5952862856795
29,1,0,2024-01-28,0.0,49.99
22,1,0,2015-11-21,0.7243599796777508,16.53564481913173
44,1,0,2010-04-24,0.24539913744038855,37.722497119354976
11,1,0,2023-03-02,0.14293173436980255,34.2741599425516
25,1,0,2012-10-09,0.3566955640089211,25.725744395283247
10,1,0,2021-03-17,0.0,59.99
45,1,0,2012-05-23,0.3479401427321036,32.59647226482214
28,2,0,2020-01-11,0.34467563960815323,39.312908379906894
58,2,0,2013-03-06,0.6883534604978925,12.46274511468928
33,2,0,2016-01-13,0.6710469450057677,13.154832669219351
72,2,0,2020-08-02,0.0,39.99
18,2,0,2021-05-13,0.0,49.99
68,2,0,2009-09-16,0.0,39.99
84,3,0,2018-11-13,0.0,29.99
38,3,0,2020-04-29,0.0,39.99
69,3,0,2022-03-03,0.11198166807336452,53.27221973227886
9,3,0,2019-12-29,0.13831561441002527,51.69244629154259
48,3,0,2014-03-19,0.0,39.99
1,3,0,2022-08-17,0.36751696328031597,0.0
33,3,0,2022-12-29,0.4632525981845177,21.464528598601138
22,4,0,2024-04-10,0.2747420104730247,43.508226791723246
76,4,0,2009-06-22,0.47596112989205863,5.2351483123783344
31,4,0,2017-05-26,0.4187660640383222,29.055884458724275
56,4,0,2020-06-28,0.15647349676544664,33.73262486434979
60,4,0,2020-07-06,0.0,29.99
51,4,0,2018-07-27,0.0,29.99
86,4,0,2022-08-18,0.5815077444099874,12.550582745144476
50,5,0,2020-02-20,0.2697615791101593,21.89985024248632
31,5,0,2012-06-28,0.20753981225471752,39.61508478538667
23,5,0,2014-06-28,0.08614666491773504,36.54499486993978
85,5,0,2023-02-04,0.24636286318395417,15.065206364952754
3,5,0,2019-02-19,0.31342616256430084,27.45608775905361
38,5,0,2022-02-26,0.006415118273282949,39.733459420251414
75,5,0,2020-06-22,0.43328587383981815,11.328615381942033
66,5,0,2021-10-02,0.6433471724466034,21.39560312492826
78,6,0,2017-11-10,0.03090310907964311,38.75418466790507
11,6,0,2010-04-20,0.15268920030051425,33.88395887998244
32,6,0,2018-06-29,0.18479661640096334,32.59998331012548
21,6,0,2023-07-28,0.5977668482660026,24.129966772522508
6,6,0,2017-04-03,0.0,24.99
68,6,0,2016-03-27,0.193256019128217,32.2616917950626
49,7,0,2022-09-19,0.6297706514394659,14.805471648935761
72,7,0,2024-03-15,0.0,39.99
79,7,0,2017-07-17,0.32264085698963946,40.63477498919153
36,7,0,2021-09-11,0.14705854353344439,51.16795797342867
1,7,0,2020-02-27,0.23861542654214107,0.0
87,7,0,2015-09-06,0.0,49.99
